domain,edge,x,y,n_genomes
Bacteria,23217,-0.7869734470594032,-0.2129907820284819,382
Bacteria,23217,-0.7858569828137913,-0.2170739094605063,382
Bacteria,23217,-0.7847193338523168,-0.22115118512917725,382
Bacteria,23217,-0.7835605308431174,-0.22522249912145909,382
Bacteria,23217,-0.7958036641375411,-0.2287416006702319,382
Bacteria,23973,-0.792136965305335,-0.26217147972906707,20
Bacteria,23973,-0.7922830460164119,-0.26172969182236566,20
Bacteria,23973,-0.7924288803350764,-0.26128782252024535,20
Bacteria,23973,-0.7925744682159758,-0.260845871960124,20
Bacteria,23973,-0.7927198096138334,-0.26040384027944363,20
Bacteria,23973,-0.7928649044834496,-0.25996172761567143,20
Bacteria,23973,-0.7930097527797011,-0.25951953410630096,20
Bacteria,23973,-0.7990632623429049,-0.2615005992521506,20
Bacteria,24452,-0.792136965305335,-0.26217147972906707,9
Bacteria,24452,-0.7919906382472758,-0.2626131861029582,9
Bacteria,24452,-0.7918440648877402,-0.2630548108066729,9
Bacteria,24452,-0.7916972452723114,-0.2634963537028695,9
Bacteria,24452,-0.791550179446649,-0.2639378146542327,9
Bacteria,24452,-0.7914028674564885,-0.2643791935234728,9
Bacteria,24452,-0.7912553093476431,-0.2648204901733245,9
Bacteria,24452,-0.9301779972483742,-0.3113156907381066,9
Bacteria,24464,-0.3505708865869937,-0.5317856945392692,6137
Bacteria,24464,-0.3521909467895149,-0.5307141494613732,6137
Bacteria,24464,-0.35380773176261365,-0.5296376689624693,6137
Bacteria,24464,-0.35542122647086105,-0.5285562630533788,6137
Bacteria,24464,-0.3570314159094267,-0.5274699417907277,6137
Bacteria,24464,-0.3586382851042184,-0.5263787152768519,6137
Bacteria,24464,-0.360241819112021,-0.525282593659704,6137
Bacteria,24464,-0.3638442373031412,-0.530535419596301,6137
Bacteria,33013,-0.3505708865869937,-0.5317856945392692,243
Bacteria,33013,-0.34894756622093603,-0.5328522942312337,243
Bacteria,33013,-0.3473210007875462,-0.533913938618333,243
Bacteria,33013,-0.3456912054132071,-0.5349706178277155,243
Bacteria,33013,-0.34405819525433873,-0.5360223220327033,243
Bacteria,33013,-0.3424219854972565,-0.5370690414528847,243
Bacteria,33013,-0.34078259135803046,-0.5381107663542046,243
Bacteria,33013,-0.46346432424692136,-0.7318306422417181,243
Bacteria,33462,0.05906605553181518,-0.023836123810354732,16975
Bacteria,33462,0.05846555078978217,-0.025273287978366324,16975
Bacteria,33462,0.05783008386624766,-0.026695338814347287,16975
Bacteria,33462,0.057160034768063854,-0.028101425937196948,16975
Bacteria,33462,0.05645580418209456,-0.029490708512055607,16975
Bacteria,33462,0.055717813235605866,-0.030862355753120633,16975
Bacteria,33462,0.05494650324443367,-0.03221554742045328,16975
Bacteria,33462,0.06044115356887704,-0.03543710216249861,16975
Bacteria,57179,0.05906605553181518,-0.023836123810354732,177
Bacteria,57179,0.05963123899274872,-0.02238470572912942,177
Bacteria,57179,0.0601607631949793,-0.02091990167729423,177
Bacteria,57179,0.06065431148500724,-0.01944258760221369,177
Bacteria,57179,0.06111158872279429,-0.017953646932199464,177
Bacteria,57179,0.06153232145825634,-0.01645397004822366,177
Bacteria,57179,0.06191625809478537,-0.014944453751474485,177
Bacteria,57179,0.80491135523221,-0.19427789876916834,177
Bacteria,57849,0.8167733169481478,-0.08944280179626732,288
Bacteria,57849,0.8164148704677168,-0.0926575703913465,288
Bacteria,57849,0.8160437709091733,-0.09587090294757064,288
Bacteria,57849,0.8156600240239463,-0.09908274966360793,288
Bacteria,57849,0.8152636357594767,-0.10229306076115466,288
Bacteria,57849,0.8148546122591258,-0.10550178648570664,288
Bacteria,57849,0.8144329598620806,-0.10870887710733038,288
Bacteria,57849,0.8207463936594611,-0.10955158158103062,288
Bacteria,59572,0.8167733169481478,-0.08944280179626732,6
Bacteria,59572,0.8171191047951402,-0.08622664698592107,6
Bacteria,59572,0.8174522286495548,-0.08300915580537979,6
Bacteria,59572,0.8177726833485239,-0.07979037812042708,6
Bacteria,59572,0.8180804639255305,-0.07657036381678517,6
Bacteria,59572,0.8183755656104852,-0.07334916279934185,6
Bacteria,59572,0.818657983829801,-0.07012682499137704,6
Bacteria,59572,0.8884660289625748,-0.0761066317735875,6
Bacteria,59793,0.8275315087194863,-0.028597094404272883,85
Bacteria,59793,0.8275194881120328,-0.02894284931922477,85
Bacteria,59793,0.8275073230430636,-0.029288599181573866,85
Bacteria,59793,0.8274950135147024,-0.029634343930961288,85
Bacteria,59793,0.8274825595290983,-0.02998008350702903,85
Bacteria,59793,0.8274699610884252,-0.030325817849421483,85
Bacteria,59793,0.8274572181948824,-0.03067154689778393,85
Bacteria,59793,0.8338222737194585,-0.03090748187392073,85
Bacteria,60428,0.8275315087194863,-0.028597094404272883,22
Bacteria,60428,0.8275433848633258,-0.028251334497076515,22
Bacteria,60428,0.8275551165414777,-0.027905569657995573,22
Bacteria,60428,0.8275667037518946,-0.02755979994739082,22
Bacteria,60428,0.8275781464925531,-0.027214025425623144,22
Bacteria,60428,0.827589444761456,-0.026868246153056476,22
Bacteria,60428,0.8276005985566307,-0.02652246219005337,22
Bacteria,60428,0.97402224291665,-0.03121489780829358,22
Bacteria,12,-0.380393697405521,0.1934361821199065,1429
Bacteria,12,-0.36640688243993635,0.2187759540708608,1429
Bacteria,12,-0.35073460145629465,0.24310936000134356,1429
Bacteria,12,-0.33344894670583164,0.26632446661870973,1429
Bacteria,12,-0.3146294319342712,0.2883144847899366,1429
Bacteria,12,-0.2943626266198188,0.3089782607699931,1429
Bacteria,12,-0.27274175775489534,0.3282207415075085,1429
Bacteria,12,-0.27681253025869973,0.333119558544934,1429
Bacteria,11289,-0.380393697405521,0.1934361821199065,3646
Bacteria,11289,-0.3926307072195467,0.16720660670932636,3646
Bacteria,11289,-0.4030616218252687,0.14020788348218086,3646
Bacteria,11289,-0.4116384591760942,0.11256420614964502,3646
Bacteria,11289,-0.4183217659522575,0.08440273520184896,3646
Bacteria,11289,-0.4230807990454839,0.055853012971581156,3646
Bacteria,11289,-0.42589366697681413,0.027046367741551933,3646
Bacteria,11289,-0.6928717865742201,0.044000807221330755,3646
Bacteria,21981,-0.8022827825054774,-0.17737249777492256,707
Bacteria,21981,-0.8025158550590932,-0.176314969445077,707
Bacteria,21981,-0.802747533633325,-0.17525713485407624,707
Bacteria,21981,-0.8029778178257438,-0.17419899583939197,707
Bacteria,21981,-0.8032067072363438,-0.17314055423902366,707
Bacteria,21981,-0.8034342014675412,-0.17208181189149632,707
Bacteria,21981,-0.8036603001241759,-0.1710227706358585,707
Bacteria,21981,-0.8098902249313401,-0.17234852854776436,707
Bacteria,23118,-0.8022827825054774,-0.17737249777492256,4
Bacteria,23118,-0.8020483163773268,-0.17842971800667465,4
Bacteria,23118,-0.8018124570819122,-0.179486628303929,4
Bacteria,23118,-0.8015752050289238,-0.18054322683081978,4
Bacteria,23118,-0.801336560630471,-0.1815995117520238,4
Bacteria,23118,-0.8010965243010821,-0.18265548123276143,4
Bacteria,23118,-0.8008550964577031,-0.18371113343880144,4
Bacteria,23118,-0.8939777820923197,-0.20507289314098764,4
Bacteria,23218,-0.7958036641375411,-0.2287416006702319,382
Bacteria,23218,-0.7959965195301324,-0.2280695784795325,382
