domain,node,x,y,n_genomes
Bacteria,59322,0.9719725474406544,-0.23509437896667126,167
Bacteria,59322,0.9725342161336691,-0.2327599588616345,167
Bacteria,59322,0.9730902781776766,-0.23042419689800833,167
Bacteria,59922,0.8740615830067753,-0.09286418642366219,159
Bacteria,59922,0.9895964240027751,-0.14387118405337315,159
Bacteria,59922,0.9903093858113204,-0.13887879742424766,159
Bacteria,59922,0.9909971618350848,-0.13388287879638247,159
Bacteria,59922,0.9916597345823839,-0.12888355522717404,159
Bacteria,59922,0.9922970872025096,-0.12388095386061142,159
Bacteria,59922,0.9929092034861581,-0.11887520192404806,159
Bacteria,59922,0.9934960678658415,-0.11386642672496254,159
Bacteria,59922,0.9940576654162849,-0.10885475564772269,159
Bacteria,59922,0.9945939818548054,-0.10384031615034235,159
Bacteria,59922,0.9951050035416752,-0.0988232357612451,159
Bacteria,60637,0.973990942513085,-0.03217675316180964,0
Bacteria,60637,0.9994350840080841,-0.03360822598343659,0
Bacteria,60637,0.9994505944136096,-0.03314376753301221,0
Bacteria,60637,0.9994658889755611,-0.03267930192478694,0
Bacteria,41985,-0.9637501873241227,-0.21417317249115153,0
Bacteria,41985,-0.9762528362625164,-0.21663425326894262,0
Bacteria,41985,-0.9761856736121759,-0.21693669729748896,0
Bacteria,41985,-0.9761184172643991,-0.21723912050375385,0
Bacteria,42357,-0.8871312341673023,-0.25685395327949295,63
Bacteria,42357,-0.9621135406142689,-0.2726491059341209,63
Bacteria,42357,-0.9609647858885783,-0.27667070730765647,63
Bacteria,42357,-0.9597992210875438,-0.28068746890401813,63
Bacteria,42417,-0.8129183402331681,-0.2600604899411405,5
Bacteria,42417,-0.95958153265195,-0.2814307769120759,5
Bacteria,42417,-0.9581037410065535,-0.28642140539639666,5
Bacteria,42417,-0.9565999941000868,-0.29140427465587043,5
Bacteria,42417,-0.9550703326694157,-0.2963792497033686,5
Bacteria,42417,-0.9535147981534364,-0.30134619576562,5
Bacteria,42417,-0.9519334326919539,-0.30630497828685915,5
Bacteria,42584,-0.9029136445240554,-0.2922885162369873,0
Bacteria,42584,-0.9519334326919539,-0.30630497828685915,0
Bacteria,42584,-0.9516245355068214,-0.30726331284653313,0
Bacteria,42584,-0.9513146735432287,-0.3082213358957166,0
Bacteria,46862,-0.5473291427210727,-0.8063029883795417,0
